X,Y
2684.6252,348.0212
2692.4661,347.9783
2700.3201,347.9499
2708.1887,347.937
2716.0735,347.9403
2723.9763,347.9608
2731.8984,347.9994
2739.8413,348.0566
2747.8052,348.1325
2755.7898,348.2269
2763.7949,348.3394
2771.8206,348.4699
2779.8665,348.6181
2787.9321,348.7839
2796.0178,348.9669
2804.1233,349.1669
2812.2483,349.3838
2820.3923,349.6172
2828.5559,349.867
2836.7383,350.1329
2844.9395,350.4147
2853.1592,350.7122
2861.3975,351.0251
2869.6538,351.3531
2877.9285,351.6961
2886.2209,352.0539
2894.5312,352.4261
2902.8591,352.8127
2911.2043,353.2132
2919.5669,353.6276
2927.9463,354.0555
2936.3425,354.4967
2944.7556,354.9511
2953.1853,355.4183
2961.6311,355.8982
2970.093,356.3905
2978.571,356.895
2987.0649,357.4115
2995.5745,357.9396
3004.0991,358.4793
3012.6394,359.0302
3021.1946,359.5921
3029.7649,360.1649
3038.3496,360.7481
3046.9492,361.3418
3055.563,361.9455
3064.1912,362.5591
3072.8333,363.1823
3081.4893,363.815
3090.1589,364.4568
3098.8416,365.1072
3107.5369,365.7656
3116.2437,366.4314
3124.9617,367.104
3133.6897,367.7826
3142.4272,368.4666
3151.1738,369.1554
3159.9285,369.8484
3168.6904,370.5448
3177.4592,371.2441
3186.2339,371.9456
3195.0139,372.6487
3203.7986,373.3527
3212.5869,374.0569
3221.3784,374.7608
3230.1724,375.4637
3238.9678,376.1649
3247.7644,376.8639
3256.5613,377.5598
3265.3577,378.2523
3274.1528,378.9404
3282.9463,379.6237
3291.7368,380.3014
3300.5244,380.973
3309.3079,381.6378
3318.0864,382.2951
3326.8596,382.9443
3335.6267,383.5848
3344.387,384.2159
3353.1394,384.8369
3361.8838,385.4473
3370.6189,386.0464
3379.3445,386.6335
3388.0593,387.2079
3396.7632,387.7692
3405.4553,388.3165
3414.1348,388.8493
3422.8008,389.3669
3431.4529,389.8687
3440.0901,390.3539
3448.7119,390.8221
3457.3176,391.2725
3465.9062,391.7045
3474.4775,392.1175
3483.03,392.5114
3491.5627,392.8878
3500.0742,393.2479
3508.563,393.5933
3517.0276,393.9254
3525.4666,394.2455
3533.8787,394.5553
3542.2627,394.8561
3550.6167,395.1493
3558.9399,395.4365
3567.2305,395.7189
3575.4871,395.9982
3583.7085,396.2757
3591.8933,396.5529
3600.0398,396.8312
3608.147,397.1121
3616.2131,397.397
3624.2371,397.6874
3632.2173,397.9846
3640.1523,398.2902
3648.041,398.6056
3655.8818,398.9322
3663.6733,399.2715
3671.4143,399.6249
3679.103,399.9939
3686.7383,400.3799
3694.3186,400.7843
3701.8428,401.2086
3709.3093,401.6543
3716.7168,402.1227
3724.0637,402.6154
3731.3486,403.1338
3738.5706,403.6792
