 ,Area,Mean,Min,Max,X,Y,Slice
232,0,156.206,156.206,156.206,346.500,2235,23
233,0,175.653,175.653,175.653,368,2267.500,23
234,0,186.709,186.709,186.709,324.500,2249,21
235,0,255.000,255.000,255.000,323,2261,21
236,0,226.608,226.608,226.608,329.500,2265.500,21
237,0,216.478,216.478,216.478,338.500,2269.500,21
238,0,158.148,158.148,158.148,348.500,2276.500,21
239,0,135.143,135.143,135.143,357.500,2283,21
240,0,151.575,151.575,151.575,316.500,2288,22
241,0,218.920,218.920,218.920,320,2301,22
242,0,173.305,173.305,173.305,353.500,2206,25
243,0,162.497,162.497,162.497,348.500,2216,25
244,0,179.605,179.605,179.605,361.500,2210.500,25
245,0,150.752,150.752,150.752,381,2182.500,25
246,0,99.073,99.073,99.073,369,2197,23
247,0,190.749,190.749,190.749,380.500,2202.500,22
248,0,118.425,118.425,118.425,394,2193.500,21
249,0,154.653,154.653,154.653,404,2240,21
250,0,153.180,153.180,153.180,284.500,2261,19
251,0,186.563,186.563,186.563,279,2267,19
252,0,205.622,205.622,205.622,256.500,2302,20
253,0,154.233,154.233,154.233,411.500,2234.500,23
254,0,162.397,162.397,162.397,424.500,2204.500,25
255,0,150.080,150.080,150.080,435.500,2205.500,22
256,0,251.916,251.916,251.916,430.500,2166,20
257,0,100.652,100.652,100.652,451.500,2186,20
258,0,102.212,102.212,102.212,428,2188,18
259,0,107.574,107.574,107.574,436.500,2178.500,18
260,0,187.440,187.440,187.440,451.500,2240,17
261,0,223.352,223.352,223.352,450.500,2268,18
262,0,95.190,95.190,95.190,468.500,2273,18
263,0,37.064,37.064,37.064,457.500,2303,17
264,0,86.460,86.460,86.460,403,2285.500,24
265,0,71.446,71.446,71.446,418.500,2287.500,24
266,0,140.665,140.665,140.665,370,2304,25
267,0,45.009,45.009,45.009,392,2297,25
268,0,118.847,118.847,118.847,433.500,2305.500,28
269,0,151.220,151.220,151.220,403,2253.500,26
270,0,182.492,182.492,182.492,466,2313.500,26
271,0,156.782,156.782,156.782,463.500,2297,23
272,0,80.423,80.423,80.423,475,2256.500,24
273,0,152.536,152.536,152.536,468.500,2239,26
274,0,120.963,120.963,120.963,416.500,2293,31
275,0,96.889,96.889,96.889,452.500,2294,32
276,0,75.130,75.130,75.130,475.500,2300.500,32
277,0,74.817,74.817,74.817,451,2325.500,32
278,0,70.846,70.846,70.846,438.500,2341,32
279,0,100.992,100.992,100.992,512,2303,14
280,0,43.125,43.125,43.125,462,2235,21
281,0,180.757,180.757,180.757,492,2248.333,25
282,0,128.659,128.659,128.659,500,2245,25
283,0,156.583,156.583,156.583,502,2284.333,25
284,0,58.091,58.091,58.091,500,2242.333,31
285,0,53.591,53.591,53.591,479.333,2257.667,32
286,0,225.298,225.298,225.298,484,2162.333,22
287,0,115.902,115.902,115.902,508,2275.667,28
288,0,117.549,117.549,117.549,501.333,2235,38
289,0,65.520,65.520,65.520,573.333,2285.667,16
290,0,169.797,169.797,169.797,592,2313,16
291,0,51.218,51.218,51.218,548,2233.667,16
