 ,Area,Mean,Min,Max,X,Y,Slice
88,0,98,98,98,622.522,582.359,25
89,0,48,48,48,649.297,572.318,25
90,0,46,46,46,722.928,589.053,25
91,0,52,52,52,629.215,579.012,26
92,0,60,60,60,645.950,568.971,26
93,0,13,13,13,719.581,589.053,26
94,0,58,58,58,853.457,595.746,26
95,0,44,44,44,856.804,595.746,25
96,0,49,49,49,629.215,582.359,27
97,0,67,67,67,645.950,572.318,27
98,0,61,61,61,712.888,592.400,27
99,0,23,23,23,860.151,595.746,27
100,0,28,28,28,622.522,579.012,28
101,0,32,32,32,642.603,568.971,28
102,0,56,56,56,722.928,582.359,28
103,0,26,26,26,863.498,589.053,28
104,0,97,97,97,4083.206,515.421,10
105,0,94,94,94,4019.615,505.380,10
106,0,84,84,84,4012.921,505.380,9
107,0,84,84,84,4079.859,508.727,9
108,0,79,79,79,4019.615,508.727,11
109,0,102,102,102,4083.206,515.421,11
110,0,72,72,72,3902.474,455.177,13
111,0,39,39,39,3889.086,528.809,13
112,0,73,73,73,3781.986,548.890,13
113,0,39,39,39,3694.966,558.931,13
114,0,63,63,63,4009.574,505.380,13
115,0,36,36,36,4099.940,508.727,13
116,0,96,96,96,4002.880,502.034,14
117,0,42,42,42,4109.981,515.421,14
118,0,11,11,11,3899.127,445.136,14
119,0,68,68,68,3889.086,528.809,14
120,0,94,94,94,3788.679,542.196,14
121,0,38,38,38,3694.966,555.584,14
122,0,97,97,97,4109.981,522.115,15
123,0,86,86,86,4006.227,508.727,15
124,0,78,78,78,3905.821,455.177,15
125,0,7,7,7,3892.433,522.115,15
126,0,57,57,57,3788.679,548.890,15
127,0,25,25,25,3694.966,558.931,15
128,0,61,61,61,3273.258,384.892,15
129,0,104,104,104,3273.258,388.239,16
130,0,94,94,94,3611.294,421.708,16
131,0,89,89,89,3905.821,451.830,16
132,0,96,96,96,3952.677,465.218,16
133,0,80,80,80,3882.393,528.809,16
134,0,56,56,56,3922.555,532.156,16
135,0,79,79,79,4012.921,505.380,16
136,0,100,100,100,4106.634,522.115,16
137,0,98,98,98,3694.966,562.278,16
138,0,106,106,106,3273.258,388.239,17
139,0,26,26,26,3601.253,421.708,17
140,0,59,59,59,3902.474,455.177,17
141,0,107,107,107,3959.371,468.565,17
142,0,68,68,68,4009.574,508.727,17
143,0,73,73,73,4109.981,515.421,17
144,0,81,81,81,3922.555,532.156,17
145,0,67,67,67,3875.699,532.156,17
146,0,11,11,11,3688.273,568.971,17
147,0,43,43,43,3437.256,599.093,17
148,0,53,53,53,3882.393,525.462,18
149,0,85,85,85,3929.249,528.809,18
150,0,88,88,88,3956.024,461.871,18
151,0,86,86,86,4002.880,522.115,18
152,0,63,63,63,4123.369,522.115,18
153,0,62,62,62,3279.952,388.239,18
154,0,14,14,14,3678.232,582.359,18
155,0,29,29,29,3353.583,599.093,18
156,0,61,61,61,3350.237,602.440,19
157,0,70,70,70,3681.579,575.665,19
158,0,49,49,49,3771.945,558.931,19
159,0,31,31,31,3879.045,528.809,19
160,0,60,60,60,3999.534,528.809,19
161,0,40,40,40,4123.369,518.768,19
162,0,27,27,27,3935.942,522.115,19
163,0,82,82,82,3929.249,468.565,19
164,0,79,79,79,3959.371,461.871,19
165,0,78,78,78,3494.153,411.667,19
166,0,5,5,5,3356.931,609.134,20
167,0,8,8,8,3684.926,582.359,20
168,0,74,74,74,3875.699,522.115,20
169,0,57,57,57,4002.880,525.462,20
170,0,58,58,58,3929.249,461.871,20
171,0,7,7,7,3949.330,465.218,20
172,0,39,39,39,3808.761,441.789,20
173,0,89,89,89,3497.500,411.667,20
174,0,65,65,65,3942.636,468.565,21
175,0,98,98,98,3500.847,411.667,21
176,0,90,90,90,3500.847,408.321,22
177,0,31,31,31,3464.031,592.400,22
178,0,40,40,40,3507.541,415.014,23
