X,Y,Z
348.3955097,480.5916245,34
364.5268944,476.2220121,34
354.3168861,462.9112668,34
327.995801,464.7158176,34
340.2517507,473.0435335,34
331.3789375,476.3375651,34
315.2260164,478.8738015,34
332.6970234,492.0591009,34
317.6561404,492.7350569,34
310.3002075,493.7823163,34
298.920132,501.1436574,34
340.4323835,513.9168256,31
318.0673077,431.0849744,33
330.0143582,435.457547,33
390.2309074,440.2640151,28
370.1988258,440.6170268,28
380.2263839,452.5867131,28
359.9057032,450.6882389,28
367.0823883,460.4025219,28
349.0221952,458.9508146,28
354.5637742,468.7289765,28
339.0296504,471.2742632,28
345.121656,445.4967656,29
382.7274082,469.6472732,31
375.7241828,476.9966062,31
390.5535444,479.398967,31
341.4654858,499.5374684,30
352.7755457,502.9042427,30
354.3938641,489.0577682,30
365.6075346,499.1644341,30
386.3488214,510.0284975,30
405.5964328,501.1221914,29
418.66533,503.1861793,29
313.9275566,486.5287166,29
432.2221348,433.7043527,29
447.6356122,430.3348019,29
436.8223166,449.9173827,29
454.889441,438.2742224,31
383.6560091,415.7153933,26
395.422379,415.0137151,26
452.2580806,478.326696,31
466.546763,470.893024,31
380.5936351,518.6207979,32
364.9066212,533.8251159,33
406.709303,527.1625044,33
403.6686205,508.892529,23
406.9815609,519.1270151,23
327.5774338,491.2236519,23
352.5377821,486.3223968,23
364.5153109,490.5636755,23
374.0685117,500.7678068,23
375.6379806,509.7013405,23
358.020434,503.7882513,23
350.8204499,508.8452151,23
343.2188532,500.0161305,23
336.9407202,487.0188179,23
362.4421989,515.8090272,23
312.8872711,500.0271503,21
311.6736735,510.8742086,21
319.2628286,514.7974264,21
329.5380975,518.2038662,21
341.0429606,524.3079524,21
351.2780221,529.8903756,21
305.545523,535.1989489,22
310.0710263,546.7248935,22
343.605218,460.7928453,25
338.3882256,469.8931915,25
352.6720243,464.7677086,25
373.4344475,439.2192893,25
360.6523295,452.4337932,23
373.7718488,457.2188698,22
388.5704051,448.8010144,21
401.6732007,490.4647832,21
268.5103794,511.4881783,19
262.7657524,516.9628652,19
238.996905,548.9103767,20
409.8712477,485.3382462,23
423.1999657,458.1839592,25
435.5505711,458.8265465,22
428.2984964,423.5489659,20
452.7844658,441.0493297,20
426.4809906,443.2506519,18
435.5338075,434.6055722,18
455.0368615,489.5413495,17
455.0984631,514.7350697,18
475.5943951,518.826779,18
464.4249482,546.0206432,17
402.4823775,531.308501,24
420.0265632,532.8011071,24
366.1936778,548.5537765,25
390.7306147,541.8260499,25
437.5956586,548.6547389,28
401.0570869,502.5715823,26
474.5232469,555.2452521,26
470.9798679,540.5353928,23
482.164767,503.8833795,24
474.1433615,488.2799189,26
417.9814958,537.8054997,31
458.4187761,538.0085644,32
484.6212873,543.3758535,32
458.1992405,566.2306559,32
444.8221587,580.4359473,32
525.8840876,544.8898119,14
466.5271947,484.7490482,21
500.9530543,496.2240865,25
509.6848239,493.1073318,25
513.7045425,528.4173832,25
509.6524088,490.7033319,31
487.0464951,504.8612732,32
488.2309247,419.2082927,22
520.0890592,520.4706394,28
510.8559568,483.9706349,38
593.9610912,528.1220813,16
616.2167213,552.3951021,16
563.2399,481.9041454,16
659.3608628,529.4288743,17
580.1597279,442.2017732,20
604.9064355,440.4660793,20
606.4122937,457.775252,20
584.8766517,461.8122708,20
506.9845077,417.0840793,20
530.6827265,413.6063244,20
590.5144707,407.7855555,20
599.8223394,413.6615549,20
606.8483711,405.1117559,20
619.7799893,409.0754213,20
629.9830813,403.5631919,20
490.4221013,418.5344331,21
550.7600049,410.2322461,22
564.4669329,414.7899596,22
575.4269326,408.0710623,22
581.2443696,417.5793396,22
592.8424707,407.7083676,22
653.2254269,400.6551937,21
505.8813887,412.2574573,22
513.6676997,418.0592619,22
526.9676551,413.0867921,22
537.1068075,420.7184449,22
565.446764,589.1151786,19
654.9351754,406.5999371,19
589.0046805,579.7650795,24
723.2497962,564.9592431,27
684.896154,389.3227285,25
687.2132561,393.4701728,34
704.0928939,414.2531639,34
705.5689031,475.2305476,34
733.0001751,532.4205405,35
785.4429972,546.4426929,35
817.4185144,541.0981456,35
849.7337156,525.5220525,36
844.1321287,504.0787761,36
804.7447007,432.3053548,39
745.4167022,461.4407312,39
679.3562658,432.5757717,39
707.9315949,399.7364571,39
840.6434543,445.5157145,39
582.4460845,411.5354259,30
626.2356623,526.9560885,35
596.7968088,461.6899268,40
1253.791889,516.214379,13
1380.111745,502.3071904,13
1391.082186,549.9810419,13
1470.212499,518.9719836,13
1546.888733,502.2811512,13
1671.374971,501.8465141,13
