 ,Area,Mean,Min,Max,X,Y,Slice
210,0,53,53,53,2489.933,449.664,12
211,0,93,93,93,2489.933,479.866,12
212,0,15,15,15,2473.154,476.510,12
213,0,69,69,69,2493.289,506.711,12
214,0,24,24,24,2476.510,493.289,12
215,0,25,25,25,2456.376,486.577,12
216,0,41,41,41,2439.597,483.221,12
217,0,7,7,7,2463.087,506.711,12
218,0,51,51,51,2473.154,520.134,12
219,0,65,65,65,2463.087,543.624,12
220,0,95,95,95,2456.376,526.846,12
221,0,52,52,52,2446.309,513.423,12
222,0,75,75,75,2412.752,503.356,12
223,0,35,35,35,2419.463,473.154,12
224,0,15,15,15,2422.819,456.376,12
225,0,73,73,73,2409.396,446.309,12
226,0,21,21,21,2395.973,432.886,12
227,0,57,57,57,2382.550,446.309,12
228,0,30,30,30,2392.617,466.443,12
229,0,56,56,56,2402.685,479.866,12
230,0,60,60,60,2395.973,510.067,12
231,0,59,59,59,2389.262,493.289,12
232,0,42,42,42,2375.839,473.154,12
233,0,22,22,22,2355.705,466.443,12
234,0,12,12,12,2382.550,520.134,12
235,0,33,33,33,2392.617,536.913,12
236,0,64,64,64,2224.832,486.577,12
237,0,80,80,80,2211.409,473.154,12
238,0,15,15,15,2201.342,486.577,12
239,0,68,68,68,2218.121,446.309,12
240,0,50,50,50,2211.409,456.376,12
241,0,41,41,41,2197.987,446.309,12
242,0,34,34,34,2208.054,429.530,12
243,0,61,61,61,2218.121,520.134,12
244,0,96,96,96,2214.765,540.268,12
245,0,63,63,63,2194.631,540.268,12
246,0,1,1,1,2137.584,526.846,12
247,0,44,44,44,2134.228,506.711,12
248,0,19,19,19,2127.517,493.289,12
249,0,7,7,7,2137.584,453.020,12
250,0,39,39,39,2100.671,385.906,12
251,0,41,41,41,2073.825,395.973,12
252,0,44,44,44,2060.403,379.195,12
253,0,39,39,39,2046.980,399.329,12
254,0,37,37,37,2026.846,392.617,12
255,0,52,52,52,1993.289,392.617,12
256,0,50,50,50,1973.154,375.839,12
257,0,51,51,51,1956.376,389.262,12
258,0,48,48,48,1916.107,392.617,12
259,0,32,32,32,1885.906,406.040,12
260,0,39,39,39,2036.913,523.490,12
261,0,27,27,27,2053.691,466.443,12
262,0,61,61,61,1976.510,496.644,12
263,0,37,37,37,1872.483,489.933,12
264,0,50,50,50,1865.772,503.356,12
265,0,38,38,38,1657.718,500,12
266,0,54,54,54,1640.939,449.664,12
267,0,50,50,50,1617.450,456.376,12
268,0,22,22,22,1590.604,459.732,12
269,0,19,19,19,1459.731,493.289,12
270,0,58,58,58,1265.101,500,12
271,0,13,13,13,1087.248,506.711,12
272,0,48,48,48,936.242,506.711,12
273,0,43,43,43,4154.362,503.356,13
274,0,60,60,60,4134.228,466.443,13
275,0,67,67,67,4117.450,506.711,13
276,0,62,62,62,4107.382,523.490,13
277,0,58,58,58,4083.893,513.423,13
278,0,70,70,70,4043.624,503.356,13
279,0,64,64,64,4023.490,503.356,13
280,0,86,86,86,4000,506.711,13
281,0,85,85,85,3966.443,466.443,13
282,0,51,51,51,3899.329,446.309,13
283,0,53,53,53,3882.550,526.846,13
284,0,53,53,53,3781.879,546.980,13
285,0,39,39,39,3691.275,553.691,13
286,0,67,67,67,3600.671,426.174,13
287,0,35,35,35,3617.450,536.913,13
288,0,108,108,108,3546.980,553.691,13
289,0,76,76,76,3536.913,583.893,13
290,0,42,42,42,3436.242,593.960,13
291,0,58,58,58,3496.645,489.933,13
292,0,48,48,48,3483.222,510.067,13
293,0,27,27,27,3469.799,486.577,13
294,0,29,29,29,3456.376,506.711,13
295,0,98,98,98,3442.953,500,13
296,0,42,42,42,3442.953,479.866,13
297,0,45,45,45,3422.819,500,13
298,0,52,52,52,3395.973,479.866,13
299,0,37,37,37,3382.550,500,13
300,0,72,72,72,3348.993,479.866,13
301,0,52,52,52,3328.859,466.443,13
